baid,acvalue,aid,sid,cid,geneid,pmid,aidtype,aidmdate,hasdrc,rnai,activity,protacxn,acname,acqualifier,aidsrcname,aidname,cmpdname,targetname,targeturl,ecs,repacxn,taxids
70871891,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70872212,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70872533,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70872854,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70873175,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70873496,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70873817,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70874138,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70874459,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70874780,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70875101,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70875422,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70875743,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70876064,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70876385,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70876706,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70877027,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70877348,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70877669,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70877990,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70878311,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70878632,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70878953,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70879274,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70879595,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70879916,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70880237,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70880558,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70880879,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70881200,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70881521,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70881842,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70882163,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70882484,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70882805,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70883126,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70883447,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70883768,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70884089,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70884410,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70884731,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70885052,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70885373,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70885694,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70886015,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70886336,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70886657,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70886978,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70887299,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70887620,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70887941,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70888262,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70888583,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70888904,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
